pipeline,runs_total,wellformed_rate,satisfiable_rate,semantic_precision_n,semantic_precision_mean,semantic_precision_sd,semantic_precision_ci95_half,semantic_recall_n,semantic_recall_mean,semantic_recall_sd,semantic_recall_ci95_half,semantic_f1_n,semantic_f1_mean,semantic_f1_sd,semantic_f1_ci95_half,coverage_score_n,coverage_score_mean,coverage_score_sd,coverage_score_ci95_half,llm_duration_seconds_n,llm_duration_seconds_mean,llm_duration_seconds_sd,llm_duration_seconds_ci95_half,dead_features_count_n,dead_features_count_mean,dead_features_count_sd,dead_features_count_ci95_half,core_features_count_n,core_features_count_mean,core_features_count_sd,core_features_count_ci95_half,edge_jaccard_to_gt_n,edge_jaccard_to_gt_mean,edge_jaccard_to_gt_sd,edge_jaccard_to_gt_ci95_half,parent_match_rate_n,parent_match_rate_mean,parent_match_rate_sd,parent_match_rate_ci95_half
is_nonrag,59,0.9322,1.0,56,0.7768,0.0495,0.013,56,0.6133,0.1826,0.0478,56,0.6655,0.1156,0.0303,56,38.4834,14.4729,3.7907,59,2779.9776,2287.9168,583.8083,55,0.1273,0.8177,0.2161,55,3.4545,7.0496,1.8631,56,0.0101,0.0061,0.0016,56,0.5555,0.2614,0.0685
is_rag,86,0.8953,1.0,80,0.7792,0.0323,0.0071,80,0.6688,0.0883,0.0193,80,0.7154,0.0551,0.0121,80,42.8852,6.6173,1.4501,86,2444.0533,1626.4889,343.7621,77,0.0,0.0,0.0,77,2.5974,4.6715,1.0434,80,0.0126,0.005,0.0011,80,0.6861,0.1603,0.0351
ss_nonrag,196,0.4949,1.0,161,0.8281,0.0532,0.0082,161,0.4374,0.0669,0.0103,161,0.5689,0.0584,0.009,161,26.2802,5.5119,0.8514,196,115.4617,178.4527,24.9834,97,0.0,0.0,0.0,97,2.9588,6.05,1.204,161,0.0202,0.0067,0.001,161,0.6451,0.1956,0.0302
ss_rag,183,0.6339,1.0,158,0.8784,0.0473,0.0074,158,0.4777,0.0826,0.0129,158,0.6146,0.0703,0.011,158,30.1502,7.1395,1.1132,183,84.6667,116.8679,16.9327,116,0.0,0.0,0.0,116,1.9224,3.3678,0.6129,158,0.0225,0.0058,0.0009,158,0.7119,0.1047,0.0163
