pipeline,run_id,model,domain,root_feature,collection_mode,llm_host,meta_file,fm_xml,num_sources,num_chunks_total,num_evidence_chunks,context_chars,llm_duration_seconds,wellformed_ok,wellformed_error_count,satisfiable,dead_features_count,core_features_count,coverage_score,semantic_precision,semantic_recall,semantic_f1,feature_count,abstract_feature_count,concrete_feature_count,missing_feature_count,extra_feature_count,missing_feature_ratio,extra_feature_ratio,edge_jaccard_to_gt,parent_match_rate,sat_error,coverage_error,feature_extract_error
is_nonrag,is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59,deepseek-v3.2:cloud,Model Driven Engineering,Model Federation,context_conditioned,https://ollama.com,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_deepseek-v3.2-cloud_2026-03-22T02-29-59.final.xml,14,,,,3022.7159225940704,True,0,True,0,25,42.48,0.8041,0.6846,0.7396,194,51,143,126,190,0.9692,0.9794,0.0093,0.75,,,
is_nonrag,is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08,gemini-3-flash-preview,Health_Equity_in_Education,Health-Equity-in-Education,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3-flash-preview_2026-03-01T16-01-08.final.xml,4,,,,205.35869932174683,True,0,True,0,1,16.95,0.622,0.3692,0.4634,82,31,51,130,82,1.0,1.0,0.0,,,,
is_nonrag,is_nonrag_response_gemini-3-pro-preview_2026-02-09T09-57-59,gemini-3-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-pro-preview_2026-02-09T09-57-59.meta.json,,14,,,,1034.039868593216,,,,,,,,,,,,,,,,,,,,,
is_nonrag,is_nonrag_response_gemini-3-pro-preview_2026-02-09T23-55-45,gemini-3-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-pro-preview_2026-02-09T23-55-45.meta.json,,14,,,,932.8269972801208,,,,,,,,,,,,,,,,,,,,,
is_nonrag,is_nonrag_response_gemini-3-pro-preview_2026-02-10T07-31-51,gemini-3-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3-pro-preview_2026-02-10T07-31-51.meta.json,,14,,,,312.29643845558167,,,,,,,,,,,,,,,,,,,,,
is_nonrag,is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T12-53-32,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T12-53-32.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T12-53-32.final.xml,14,,,,841.7685430049896,True,0,True,0,1,49.35,0.736,0.7615,0.7486,197,51,146,125,192,0.9615,0.9746,0.0124,0.8,,,
is_nonrag,is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-07-56,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-07-56.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-07-56.final.xml,14,,,,844.6620271205902,True,0,True,0,1,45.15,0.7083,0.7385,0.7231,192,41,151,125,187,0.9615,0.974,0.0126,0.8,,,
is_nonrag,is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-22-17.final.xml,14,,,,812.9936974048615,True,0,True,0,1,50.52,0.7361,0.8077,0.7702,216,56,160,125,211,0.9615,0.9769,0.0117,0.8,,,
is_nonrag,is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-36-06.final.xml,14,,,,947.0062482357025,True,0,True,0,1,49.74,0.7593,0.7923,0.7754,216,56,160,125,211,0.9615,0.9769,0.0087,0.6,,,
is_nonrag,is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09,gemini-3.1-pro-preview,Model Driven Engineering,Model Federation,context_conditioned,,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/reports/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09.meta.json,/Users/joshuaocansey/Library/CloudStorage/OneDrive-HøgskulenpåVestlandet/Skrivebord/FAME_project/results/non_rag/is-nonrag/fm/is_nonrag_response_gemini-3.1-pro-preview_2026-03-22T13-52-09.final.xml,14,,,,843.5398559570312,True,0,True,0,1,51.31,0.7255,0.8,0.7609,204,43,161,122,196,0.9385,0.9608,0.0121,0.5,,,
