rank,candidate_index,run_id,fm_xml,eligible_ok,wellformed_ok,duplicate_free,constraints_valid,satisfiable,trace_present_rate,label_support_mean,trace_support_mean,evidence_score,feature_overlap_mean,edge_overlap_mean,constraint_overlap_mean,consensus_score,proxy_score,duplicate_feature_count,wellformed_error_count,sat_error
1,1,is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T13-38-37.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T13-38-37.final.xml,True,True,True,True,,1.0,0.05399788315563659,0.18399092877479245,0.29519552477217165,0.17206903267412044,0.022081829022899783,0.8775510204081632,0.11207415121363218,0.24025911270460978,0,0,
2,2,is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T17-34-36.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-04T17-34-36.final.xml,True,True,True,True,,1.0,0.05270368716657034,0.17402790021954823,0.29069263495444747,0.1642094189697811,0.018686536553092516,0.8775510204081632,0.10600026600310568,0.2352849242690449,0,0,
3,3,is_rgfm_response_deepseek-v3-2-cloud_2026-05-05T20-10-45.final,/Users/joshuaocansey/dev/FAME_project_local/results/rag/is-rgfm/fm/federation/is_rgfm_response_deepseek-v3-2-cloud_2026-05-05T20-10-45.final.xml,True,True,True,True,,1.0,0.056448489848734816,0.17734515894076147,0.29351745951579855,0.14891370634926246,0.019791243937118036,0.8775510204081632,0.09726472138440469,0.2346416380763804,0,0,
